observation_date,AEXKOUS
2000-01-01,1130.8975
2001-01-01,1292.0149
2002-01-01,1250.3140
2003-01-01,1192.0817
2004-01-01,1145.2364
2005-01-01,1023.7492
2006-01-01,954.3210
2007-01-01,928.9717
2008-01-01,1098.7061
2009-01-01,1274.6252
2010-01-01,1155.7389
2011-01-01,1106.9400
2012-01-01,1126.1621
2013-01-01,1094.6749
2014-01-01,1052.2924
2015-01-01,1130.9603
2016-01-01,1159.3422
2017-01-01,1129.0435
2018-01-01,1099.2926
2019-01-01,1165.8016
2020-01-01,1180.5554
2021-01-01,1144.8911
2022-01-01,1291.7796
2023-01-01,1306.7637
2024-01-01,1363.4381
