,Model_A_Coef,Model_A_SE,Model_A_Pval,Model_B_Coef,Model_B_SE,Model_B_Pval,Model_C_Coef,Model_C_SE,Model_C_Pval,Model_D_Coef,Model_D_SE,Model_D_Pval,Model_E_Coef,Model_E_SE,Model_E_Pval,Model_F_Coef,Model_F_SE,Model_F_Pval
const,3.561372089737745,2.4513702018682633,0.14882325851078737,,,,-7.34549745919912,2.8395717456761536,0.010869794526418675,4.942481369621862,3.6581607457175873,0.17914864740553882,,,,-8.948165098782844,3.6374821207524435,0.015306607598547295
covid_dummy,-2.561736754185646,0.20463173789642564,0.0,,,,-3.4222460650694186,0.18094078883806394,0.0,-2.5325141922160626,0.1829586215930721,0.0,,,,-3.4663234270628895,0.179431396805348,0.0
ln_cpi,1.4555275919008728,0.6824531455339224,0.03492938106927346,0.9372667995346663,0.8501711609702771,0.27269655376707935,3.232037116621301,1.4285688320785181,0.02545470294720853,1.8645838973019058,0.44364823799376774,5.0240054519479216e-05,0.5007253173431149,0.48885704034425675,0.30797200553816695,2.121178255848585,0.8547419021261928,0.014449673503733163
ln_exchange_rate,1.0036071811966139,0.8925593338540525,0.2630265281978028,0.43654148219155997,0.7409927611259134,0.5569927209273025,1.4383825394664818,1.0318636765251774,0.16588264948591092,,,,,,,,,
ln_gdp_china,0.38961399997763274,0.28718176440907434,0.17736742295677632,,,,1.0919075154492852,0.40174953872796304,0.0075351467775055525,-0.18519976144684697,0.505923272867961,0.7149469646338336,,,,1.4302460744353391,0.4690984208238058,0.0028214902690943955
ln_rer,,,,,,,,,,-0.9734268000417667,0.7677981213909887,0.20725836892960992,0.436541482191563,0.7409927611258922,0.5569927209272887,0.8728178975963363,0.830605622777598,0.29543492854398723
peace_index,1.6945434989536192,0.8884954008024178,0.058825935022932097,-0.10524406971591511,0.41810719343589436,0.8017349372815554,0.4046054946432139,0.7247628455052473,0.5776989663106464,1.1090562086208264,0.8747517105364113,0.2072453745027616,-0.10524406971589664,0.41810719343586517,0.8017349372815761,0.3046376852646788,0.6992663206207274,0.6638644715204995
post_covid,,,,,,,-1.9205836414114725,0.2166441389176241,7.993605777301127e-15,,,,,,,-1.9814188910772887,0.25288050141231166,2.027045198360611e-12
thailand_post_covid,,,,,,,0.29631439580815055,0.1413355559083603,0.038118202970263804,,,,,,,0.3016399782305977,0.12047962262172876,0.01362377267648407
