country,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,sig_01,sig_05,sig_10,is_thailand,r_squared,r_squared_within,n_obs
Viet Nam,-0.6325804427812356,0.16780471728979696,-3.7697417152390056,0.00025410124728453276,-0.9614776886692376,-0.3036831968932336,True,True,True,False,0.5964370472183476,0.5964370472183474,136.0
Malaysia,0.6285285982673585,0.22847296290557298,2.750997712263779,0.006854799321657445,0.1807215909724355,1.0763356055622815,True,True,True,False,0.5965667710857292,0.5965667710857292,136.0
Singapore,-0.42498528958393184,0.15648658279605202,-2.715793788773652,0.007580018091688068,-0.7316989918641938,-0.11827158730366988,True,True,True,False,0.5943797492131198,0.59437974921312,136.0
Thailand,0.29631439580815055,0.1413355559083603,2.0965311517243124,0.038118202970263804,0.01929670622776436,0.5733320853885367,False,True,True,True,0.5934737827444427,0.5934737827444427,136.0
Japan,0.9306506417260645,0.44392080347375884,2.0964339459731525,0.03812698304885598,0.06056586691749721,1.8007354165346316,False,True,True,False,0.599453887987186,0.599453887987186,136.0
Indonesia,-0.2265820902990503,0.22021968272931322,-1.0288911848881261,0.3055831453597946,-0.6582126684485041,0.20504848785040358,False,False,False,False,0.5931402354349193,0.5931402354349196,136.0
Australia,-0.22404311061026555,0.2723192641177018,-0.8227222239901092,0.41228439557539076,-0.757788868280961,0.30970264706043,False,False,False,False,0.5931227355505193,0.5931227355505193,136.0
Cambodia,-0.22057604683591897,0.3385083125975944,-0.6516119061989809,0.5158873018280548,-0.884052339527204,0.4429002458553661,False,False,False,False,0.5930864816959233,0.5930864816959232,136.0
Maldives,,,,,,,False,False,False,False,,,
