,Model_A_Coef,Model_A_SE,Model_A_Pval,Model_B_Coef,Model_B_SE,Model_B_Pval,Model_C_Coef,Model_C_SE,Model_C_Pval,Model_D_Coef,Model_D_SE,Model_D_Pval,Model_E_Coef,Model_E_SE,Model_E_Pval,Model_F_Coef,Model_F_SE,Model_F_Pval,Model_G_Coef,Model_G_SE,Model_G_Pval
const,3.561372089737745,2.4513702018682633,0.14882325851078737,,,,-7.34549745919912,2.8395717456761536,0.010869794526418675,2.262401273968359,1.7635674602926095,0.20195499577082465,,,,-6.5450857153328394,2.7488890481768475,0.018826385722804373,-3.0512241413153687,1.9262737466204496,0.11578178907771108
covid_dummy,-2.561736754185646,0.20463173789642564,0.0,,,,-3.4222460650694186,0.18094078883806394,0.0,-2.532514192216063,0.1829586215930721,0.0,,,,-3.4663234270628887,0.1794313968053569,0.0,-2.4502736148730433,0.18604281710320944,0.0
ln_cpi,1.4555275919008728,0.6824531455339224,0.03492938106927346,0.9372667995346663,0.8501711609702771,0.27269655376707935,3.232037116621301,1.4285688320785181,0.02545470294720853,1.8645838973019035,0.4436482379934983,5.024005451903513e-05,0.5007253173431153,0.4888570403442569,0.3079720055381665,2.1211782558485908,0.8547419021261571,0.014449673503728722,6.806905254081041,0.8646414504831933,1.602940002953801e-12
ln_exchange_rate,1.0036071811966139,0.8925593338540525,0.2630265281978028,0.43654148219155997,0.7409927611259134,0.5569927209273025,1.4383825394664818,1.0318636765251774,0.16588264948591092,,,,,,,,,,5.368234004269365,0.8789324216978639,1.2430436679977674e-08
ln_gdp_china,0.38961399997763274,0.28718176440907434,0.17736742295677632,,,,1.0919075154492852,0.40174953872796304,0.0075351467775055525,-0.18519976144684555,0.5059232728678595,0.7149469646337812,,,,1.4302460744353342,0.46909842082378167,0.0028214902690930632,-1.7636932492971107,0.4675341968188357,0.0002509064767604041
ln_rer,,,,,,,,,,-0.9734268000417658,0.7677981213908514,0.20725836892952976,0.43654148219156147,0.7409927611258912,0.5569927209272896,0.8728178975963291,0.8306056227774781,0.29543492854392217,-5.019368242396835,0.5792495045438784,2.2648549702353193e-14
peace_index,1.6945434989536192,0.8884954008024178,0.058825935022932097,-0.10524406971591511,0.41810719343589436,0.8017349372815554,0.4046054946432139,0.7247628455052473,0.5776989663106464,1.1090562086208264,0.8747517105364386,0.20724537450277558,-0.10524406971589687,0.41810719343586517,0.8017349372815756,0.3046376852646761,0.6992663206207279,0.6638644715205027,1.038848482920227,1.0205352034707262,0.31071864003544625
post_covid,,,,,,,-1.9205836414114725,0.2166441389176241,7.993605777301127e-15,,,,,,,-1.9814188910772874,0.25288050141234464,2.027045198360611e-12,,,
thailand_post_covid,,,,,,,0.29631439580815055,0.1413355559083603,0.038118202970263804,,,,,,,0.3016399782305979,0.1204796226217449,0.01362377267649606,,,
